order,family,header,symbol,kind,requirement,implementation_status,header_evidence,implementation_source,test_evidence,implementation_notes,review_status,review_findings,fix_status,standard_url
1,ISO-C17,<ctype.h>,isalnum,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
2,ISO-C17,<ctype.h>,isalpha,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
3,ISO-C17,<ctype.h>,isblank,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
4,ISO-C17,<ctype.h>,iscntrl,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
5,ISO-C17,<ctype.h>,isdigit,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
6,ISO-C17,<ctype.h>,isgraph,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
7,ISO-C17,<ctype.h>,islower,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
8,ISO-C17,<ctype.h>,isprint,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
9,ISO-C17,<ctype.h>,ispunct,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
10,ISO-C17,<ctype.h>,isspace,function,required,implemented,libc/include/ctype.h,libc/ctype.c,header/symbol audit; amd64 QEMU boot; pcat/pc98 HDD integration builds,,reviewed,"No actionable issue found in signature, boundary, and integration review.",not-needed,https://www.open-std.org/jtc1/sc22/wg14/www/docs/n2176.pdf
